Léon Blum;Jean Mermoz;Les Aubes;Ernest Renan;Pinsons;Estragon;Boulevard des Sports;Françoise;Saint-Maur;Palombes;Foyer des Aubes;Garigliano;Salaison;La Pompignane (Les Lacs)
8:45;8:46;8:47;8:48;8:48;8:49;8:49;8:50;8:51;8:52;8:52;8:54;8:55;8:56
9:25;9:26;9:27;9:28;9:28;9:29;9:29;9:30;9:31;9:32;9:32;9:34;9:35;9:36
10:05;10:07;10:08;10:09;10:09;10:10;10:10;10:11;10:12;10:13;10:13;10:15;10:16;10:17
10:45;10:47;10:48;10:49;10:49;10:50;10:50;10:51;10:52;10:53;10:53;10:55;10:56;10:57
11:25;11:27;11:28;11:29;11:29;11:30;11:30;11:31;11:32;11:33;11:33;11:35;11:36;11:37
12:10;12:12;12:13;12:14;12:14;12:15;12:15;12:16;12:17;12:18;12:18;12:20;12:21;12:22
12:45;12:47;12:48;12:49;12:49;12:50;12:50;12:51;12:52;12:53;12:53;12:55;12:56;12:57
14:05;14:07;14:08;14:09;14:09;14:10;14:10;14:11;14:12;14:13;14:13;14:15;14:16;14:17
15:05;15:07;15:08;15:09;15:09;15:10;15:10;15:11;15:12;15:13;15:13;15:15;15:16;15:17
15:55;15:57;15:58;15:59;15:59;16:00;16:00;16:01;16:02;16:03;16:03;16:05;16:06;16:07
16:25;16:26;16:27;16:28;16:28;16:29;16:29;16:30;16:31;16:32;16:32;16:34;16:35;16:36
17:05;17:06;17:07;17:08;17:08;17:09;17:09;17:10;17:11;17:12;17:12;17:14;17:15;17:16
17:45;17:46;17:47;17:48;17:48;17:49;17:49;17:50;17:51;17:52;17:52;17:54;17:55;17:56
18:25;18:26;18:27;18:28;18:28;18:29;18:29;18:30;18:31;18:32;18:32;18:34;18:35;18:36
19:05;19:06;19:07;19:08;19:08;19:09;19:09;19:10;19:11;19:12;19:12;19:14;19:15;19:16
